Date,AdNetworkType,CampaignName,LocationOfPresenceName,Device,Gender,Age,IncomeGrade,WeightedImpressions,Clicks,Sessions,Bounces,Cost,Calls_F,Calls_A,B24_F,B24_A,Forms_F,Forms_A,EMails_F,EMails_A,GoalsFC,GoalsLC
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,UNKNOWN,AGE_25_34,HIGH,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Майкоп,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,1.15,1,2,0,76.54,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Новороссийск,DESKTOP,GENDER_FEMALE,AGE_55,OTHER,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Новороссийск,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Новороссийск,MOBILE,GENDER_FEMALE,AGE_55,ABOVE_AVERAGE,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Новороссийск,MOBILE,GENDER_MALE,AGE_25_34,OTHER,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Республика Адыгея,MOBILE,GENDER_FEMALE,AGE_45_54,OTHER,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Республика Адыгея,MOBILE,GENDER_FEMALE,AGE_55,OTHER,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Республика Адыгея,MOBILE,GENDER_MALE,AGE_25_34,ABOVE_AVERAGE,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_FEMALE,AGE_35_44,OTHER,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_FEMALE,AGE_45_54,HIGH,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_25_34,OTHER,1.04,1,3,1,49.69,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_18_24,OTHER,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,1,1,0,0,10.78,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_35_44,ABOVE_AVERAGE,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_55,OTHER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_25_34,HIGH,1,1,0,0,81.41,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_25_34,OTHER,1,1,0,0,69,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_35_44,HIGH,0.98,1,4,3,57.21,0,1,0,0,0,0,0,0,0,1
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_35_44,OTHER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_45_54,OTHER,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_55,OTHER,0,0,8,0,0,0,0,0,0,0,0,1,1,1,1
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_55,VERY_HIGH,1.14,1,0,0,77.55,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,UNKNOWN,UNKNOWN,OTHER,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Новороссийск,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Республика Адыгея,MOBILE,GENDER_FEMALE,AGE_18_24,OTHER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Республика Адыгея,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Республика Адыгея,MOBILE,GENDER_MALE,AGE_25_34,ABOVE_AVERAGE,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Славянск-на-Кубани,MOBILE,GENDER_FEMALE,AGE_25_34,HIGH,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Батарейки. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_55,OTHER,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Армавир,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Армавир,MOBILE,GENDER_FEMALE,AGE_45_54,OTHER,1.11,1,2,2,55.39,0,0,0,0,0,0,0,0,0,0
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Армавир,MOBILE,GENDER_MALE,AGE_0_17,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_25_34,OTHER,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_35_44,ABOVE_AVERAGE,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_18_24,OTHER,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_45_54,OTHER,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_25_34,OTHER,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_35_44,OTHER,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_45_54,OTHER,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_55,HIGH,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Майкоп,MOBILE,GENDER_FEMALE,AGE_45_54,OTHER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Майкоп,MOBILE,GENDER_MALE,AGE_55,OTHER,2.38,1,2,2,42.67,0,0,0,0,0,0,0,0,0,0
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Новороссийск,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
